                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3225,                 3.4509,                 1.2618,                0.03167,                 0.7037,                0.04757,                0.02777,                  1.145,                 3.2264,                 1.0199,                    0.1,                      0,                      0
                      1,                 1.3353,                 3.3449,                 1.4235,                0.03333,                0.74074,                0.04665,                0.02752,                  1.144,                 3.2286,                 1.0249,                 0.0991,              9.967e-05,              9.967e-05
                      2,                 1.4129,                 3.4048,                 1.3739,                0.03333,                0.74074,                0.04787,                0.02864,                 1.1351,                 3.2195,                 1.0205,               0.098199,             0.00019868,             0.00019868
                      3,                 1.4388,                 3.3788,                 1.4355,                0.03167,                 0.7037,                 0.0469,                0.02921,                 1.1385,                 3.2211,                 1.0225,               0.097297,             0.00029703,             0.00029703
                      4,                 1.6059,                 3.4303,                 1.4452,                0.03333,                0.74074,                0.04884,                 0.0292,                  1.143,                 3.2224,                 1.0246,               0.096395,             0.00039472,             0.00039472
                      5,                 1.4185,                 3.3826,                 1.4017,                0.03333,                0.74074,                0.04949,                0.03068,                 1.1233,                 3.1991,                  1.016,               0.095492,             0.00049175,             0.00049175
                      6,                 1.3758,                  3.355,                 1.3283,                0.03333,                0.74074,                0.05327,                0.03217,                 1.0965,                 3.1774,                 1.0075,               0.094588,             0.00058812,             0.00058812
                      7,                 1.2923,                 3.2278,                 1.3259,                  0.035,                0.77778,                0.05214,                0.03056,                 1.0966,                 3.1348,                0.99554,               0.093684,             0.00068383,             0.00068383
                      8,                 1.4201,                 3.3161,                 1.3277,                  0.035,                0.77778,                0.05468,                0.03171,                 1.0739,                 3.0979,                0.97615,               0.092779,             0.00077888,             0.00077888
                      9,                 1.2766,                 3.2466,                 1.2224,                0.03667,                0.81481,                0.06064,                0.03495,                 1.0577,                 3.0606,                0.97273,               0.091873,             0.00087327,             0.00087327
                     10,                 1.3255,                 3.1397,                 1.2828,                0.03667,                0.81481,                0.07228,                0.04163,                 1.0463,                 3.0259,                0.97416,               0.090967,               0.000967,               0.000967
