                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5981,                 3.3884,                 1.4084,                0.02185,                 0.5514,                0.03196,                0.02075,                 1.3853,                  3.209,                   1.21,                 0.0964,                 0.0004,                 0.0004
                      1,                 1.5869,                 3.2593,                 1.3471,                0.02667,                 0.6729,                 0.0433,                0.02669,                 1.2883,                 3.0123,                 1.1208,               0.091897,             0.00089703,             0.00089703
                      2,                 1.5052,                 2.8916,                 1.2797,                0.03222,                0.81308,                0.06899,                0.04498,                 1.3218,                  2.886,                 1.1112,               0.087391,              0.0013908,              0.0013908
                      3,                 1.5726,                 2.1562,                 1.3253,                 0.0337,                0.85047,                0.22407,                0.13725,                 1.3273,                 2.7338,                 1.1611,               0.082881,              0.0018812,              0.0018812
                      4,                 1.5997,                 1.7689,                 1.3859,                 0.0687,                0.85981,                0.47127,                0.26509,                 1.3402,                  2.568,                 1.2094,               0.078368,              0.0023683,              0.0023683
                      5,                 1.5083,                  1.525,                 1.3287,                0.03704,                0.93458,                0.61715,                0.36762,                 1.3418,                 2.5229,                 1.2174,               0.073852,              0.0028522,              0.0028522
                      6,                 1.5353,                 1.3588,                 1.3164,                      1,                0.10424,                0.64672,                0.40343,                 1.3714,                  2.417,                 1.2153,               0.069333,              0.0033327,              0.0033327
                      7,                  1.535,                 1.3993,                 1.2621,                      1,                0.08338,                0.60223,                0.37062,                 1.3634,                 2.5026,                 1.2417,                0.06481,              0.0038099,              0.0038099
                      8,                 1.4265,                 1.3154,                 1.2454,                0.03556,                 0.8972,                0.61075,                0.38994,                 1.3617,                 2.4934,                 1.2058,               0.060284,              0.0042838,              0.0042838
                      9,                 1.4809,                 1.2752,                 1.2422,                 0.0337,                0.85047,                0.50603,                0.31538,                 1.3657,                 2.5939,                 1.2366,               0.055754,              0.0047545,              0.0047545
                     10,                 1.5426,                 1.2678,                 1.2057,                      1,                 0.1153,                0.59577,                 0.3485,                 1.4394,                 2.4256,                 1.1883,               0.051222,              0.0052218,              0.0052218
                     11,                 1.5626,                  1.273,                 1.2091,                      1,                0.25981,                0.66891,                0.39249,                 1.4016,                 2.2963,                 1.2008,               0.046686,              0.0056858,              0.0056858
